fulldirname;distrib_flag;license_flag;license_details
bhw;yes;cc3;"Attribution required"
cb;yes;apache;"Apache-style"
cl;no;freeuse;"Free to use"
cw;no;none;"Not specified"
dca;yes;otherok;"Public domain"
dg;yes;other;"Contributed to the public domain, citation requested."
ds;yes;other;"Link requested"
ds9;yes;gpl;"GPL"
em;no;freeuse;"Free to use"
erj;no;none;"Not specified"
es;yes;other;"Credit requested for use, required for distribution"
esdb;yes;other;"Free to use for any purpose"
esri;no;other;"Derivative works permitted under the same licence.       Disclaimer, patent prohibition, and US export restrictions       apply"
fg;yes;other;"Credit requested"
fme;yes;gplv2;"GPLv2"
fvl;yes;cc3;"Attribution and share-alike required"
gery;yes;other;"Contributed to the Public Domain by the author."
ggr;yes;gplv2;"GPLv2"
gist;yes;otherok;"BSD-like"
gmt;yes;gplv2;"GPLv2"
gps;yes;cc3;"Creative Commons 3.0 BY-SA"
grass;yes;gpl;"GPL"
h5;yes;otherok;"MIT"
hult;no;freeuse;"Free to use"
ibcao;no;freeuse;"Free to use"
ing;no;freeuse;"Free to use"
jm;yes;other;"Attribution required"
jmn;no;freeuse;"Free to use"
km;yes;otherok;"Public domain"
kst;yes;gplv2;"GPLv2"
lb;no;freeuse;"Free to use"
ma;no;freeuse;"Free to use"
mby;yes;gplv2;"GPLv2"
mjf;no;freeuse;"Free to use"
ncdc;no;freeuse;"Free to use"
ncl;yes;other;"Custom open-source"
nd;yes;gpl;"GPL"
neota;no;freeuse;"Free to use"
ngdc;yes;gplv2;"GPLv2"
njgs;no;other;"Disclaimer required"
oc;no;freeuse;"Free to use"
ocal;yes;otherok;"Public domain"
occ;no;freeuse;"Free to use"
os;yes;other;"Crown Copyright, released under UK Open Government Licence       for Public Sector Information v1.0"
pd;yes;otherok;"Public domain"
pj;no;freeuse;"Free to use"
pm;yes;gplv2;"GPLv2"
rc;no;freeuse;"Free to use"
rf;yes;other;"Credit requested"
saga;yes;gplv2;"GPLv2"
sd;no;freeuse;"Free to use"
td;no;freeuse;"Free to use"
tl;no;freeuse;"Free to use"
tp;yes;otherok;"Public domain"
ukmo;yes;other;"Crown Copyright, released under UK Open Government Licence       for Public Sector Information v1.0"
vh;no;freeuse;"Free to use"
xkcd;noncomm;ccnc;"Creative Commons Attribution-NonCommercial 2.5 Generic"
colo/Bionic_Blender;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/Skyblue2u;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/adgrapho;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/alpen;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/angelafaye;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/drumma;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/electroluv;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/evad;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/hana;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/katiekat013;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/laleh1979;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/lightningmccarl;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/phill;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/rotten;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/rphnick;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/smorin2002;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/sugar;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/tvr;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
colo/vredeling;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
go2/button;yes;other;"Attribution requested"
go2/ipod;yes;other;"Attribution requested"
go2/webtwo;yes;other;"Attribution requested"
jjg/cbac;yes;apache;"Apache-like"
jjg/cbcont;yes;apache;"Apache-like"
jjg/dem;yes;otherok;"Public domain"
jjg/hatch;yes;otherok;"Public domain"
jjg/haxbyish;yes;gplv2;"GPLv2"
jjg/misc;yes;otherok;"Public domain"
jjg/neo10;no;freeuse;"Free to use"
jjg/physics;yes;otherok;"Public domain"
jjg/polarity;yes;apache;"Apache-like"
jjg/serrate;yes;apache;"Apache-like"
jjg/ccolo/Bionic_Blender;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/Skyblue2u;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/adgrapho;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/alpen;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/angelafaye;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/drumma;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/electroluv;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/evad;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/hana;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/katiekat013;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/laleh1979;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/lightningmccarl;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/phill;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/rotten;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/rphnick;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/smorin2002;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/sugar;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/tvr;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
jjg/ccolo/vredeling;noncomm;ccnc;"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported"
wkp/country;yes;cc3;"Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)"
wkp/encyclopedia;yes;other;"Public domain due to age"
wkp/ice;yes;other;"Attribution and share-alike required"
wkp/knutux;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
wkp/life;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
wkp/lilleskut;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
wkp/mars;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
wkp/plumbago;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
wkp/precip;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
wkp/schwarzwald;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
wkp/stat;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
wkp/strat;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
wkp/template;yes;otherok;"Public domain"
wkp/tubs;yes;cc3;"Creative commons attribution share-alike 3.0 unported"
